"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"49",50,56,1.255050640325,0.153094865864828,0.994430444807251,1.02545803745472,1.13954203299872,1.24278491450358,1.36159495893896,1.52184277451709,1.56990426403136
"50",51,57,1.3030741543132,0.137304554989248,1.06518156936892,1.09540867583504,1.20171270326118,1.29309889273675,1.39605048352483,1.54316409607951,1.5886280807501
"51",52,58,1.28195135877839,0.134273117461335,1.04459384964502,1.07515441863843,1.18260972877137,1.27484804732933,1.37438938109054,1.51291488257075,1.55550451890841
"52",53,59,1.28656020286336,0.12989892222144,1.05611436517903,1.08587963675858,1.19096858845191,1.2800079307406,1.37623783762763,1.51001247274997,1.55099665929453
"53",54,60,1.20462775148242,0.121197517088261,0.988842740812591,1.01667827669136,1.11559314942824,1.19884084218448,1.28825888471372,1.41166992367223,1.450843069726
"54",55,61,1.24141199787231,0.110880304277552,1.0425729320572,1.07006996864212,1.16137676064355,1.23534405257483,1.31574193659326,1.43260457549328,1.46989565188244
"55",56,62,1.23279009565203,0.110211876398092,1.03307025663602,1.06002023185574,1.15327315702382,1.22847010681894,1.30772892485577,1.42099296297762,1.45661833716765
"56",57,63,1.17624871316722,0.104089872654195,0.987307933876706,1.01289027771337,1.10119077312722,1.17201043711106,1.24717328625573,1.35346514888004,1.38757407377418
"57",58,64,1.07453067383057,0.0899523850624477,0.909965591791239,0.933078756560631,1.010681445463,1.07058664723201,1.13465700856308,1.22862930265957,1.25910738806826
"58",59,65,1.04575632745302,0.0766364274801358,0.903249449499529,0.924377084722652,0.992835207283674,1.04303837326555,1.09621325550629,1.17620917132268,1.20280773425736
"59",60,66,1.0128191801781,0.0708527778939906,0.879696907182494,0.899739670560027,0.963984254847033,1.01102931931728,1.05950099202499,1.13254128106433,1.15736728195537
"60",61,67,1.02729496945286,0.0695742246922653,0.895829396615508,0.915863436215337,0.979464817772808,1.02550242270711,1.07337384748658,1.1446843663204,1.16833586961504
