"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"46",47,53,1.3961613649687,0.155790376550116,1.14764823808356,1.16740863243842,1.26501704777704,1.38429121102375,1.52260581086681,1.65621648086968,1.6845759871214
"47",48,54,1.38242672259464,0.150210514665658,1.14262554711703,1.16154654603431,1.25568382083452,1.3710462184842,1.50460957824784,1.6324451146619,1.65962672417337
"48",49,55,1.37054924479541,0.144379505397721,1.13975792356621,1.15825823860415,1.24847343679444,1.35996667487575,1.48822167407938,1.61022837032954,1.63631641455111
"49",50,56,1.39456886723189,0.142676663688147,1.16618743210437,1.18396727121067,1.27406649321848,1.38442269369917,1.5114309730688,1.63136086328318,1.6568874971129
"50",51,57,1.38808637582229,0.145052220490281,1.1535776713597,1.17158077029739,1.26568055145062,1.37924536094845,1.50752875458843,1.62586800860025,1.65052034235569
"51",52,58,1.33155206664595,0.138689032109728,1.1087023952355,1.12548087856205,1.21384888095591,1.32289578588653,1.44633989996852,1.5590505999842,1.5830497556628
"52",53,59,1.28070428959458,0.122635281805248,1.08617521018862,1.10143082269854,1.17709546804272,1.27055926772795,1.38096381549222,1.48544276226827,1.50737594228421
"53",54,60,1.26925209777134,0.107898402126888,1.09793002215766,1.11237528687769,1.1789621366836,1.25930455992579,1.35602138632048,1.45126894605665,1.47181178104178
"54",55,61,1.22240482510404,0.0970705656545082,1.06497563217178,1.07896467529727,1.14177052932228,1.215058243205,1.30011471709594,1.38515939742703,1.40396911894836
"55",56,62,1.18685658566969,0.0828539849598082,1.05214760978573,1.06502636692715,1.11929336613935,1.17949332514923,1.25193054506835,1.32734343016682,1.34478284850663
"56",57,63,1.10541959850808,0.067329304898717,0.993992200446163,1.00567425835481,1.05158411486522,1.09965115980043,1.15691297688181,1.2203934309952,1.23603750117806
"57",58,64,1.0633081201542,0.0483878117452715,0.982644865310651,0.992305358325945,1.02659411807883,1.05783655095094,1.09746686268356,1.14923930872594,1.16316801696206
"58",59,65,1.037236105215,0.0357471522541982,0.973910325548926,0.982585295696148,1.01180081252634,1.03463139746354,1.06066263993751,1.10038495497721,1.11233153111777
